mode,id,participant,item,act,rt
l1,679215,3,kick love,0.9563151001930237,20.0
l1,7056020,2,kick love,0.9560640454292297,18.0
l1,6463343,1,kick love,0.9556287527084351,22.0
l1,4343902,4,kick love,0.957172155380249,20.0
l1,6463343,1,show love,0.9579023122787476,11.0
l1,679215,3,show love,0.9599890112876892,11.0
l1,7056020,2,show love,0.9611013531684875,12.0
l1,4343902,4,show love,0.9578296542167664,11.0
l1,6463343,1,enter flags,0.9563943147659302,21.0
l1,679215,3,enter flags,0.9576617479324341,21.0
l1,7056020,2,enter flags,0.9557739496231079,21.0
l1,6463343,1,fly flags,0.9588950872421265,16.0
l1,4343902,4,enter flags,0.9569741487503052,21.0
l1,679215,3,fly flags,0.9583700895309448,16.0
l1,7056020,2,fly flags,0.957731306552887,16.0
l1,6463343,1,buy tickets,0.9594528079032898,9.0
l1,679215,3,buy tickets,0.9597076177597046,9.0
l1,6463343,1,feel tickets,0.9569002389907837,12.0
l1,4343902,4,fly flags,0.9593931436538696,16.0
l1,679215,3,feel tickets,0.957734227180481,12.0
l1,4343902,4,buy tickets,0.9596498012542725,9.0
l1,7056020,2,buy tickets,0.960399329662323,9.0
l1,6463343,1,read dogs,0.9552009701728821,26.0
l1,7056020,2,feel tickets,0.9575798511505127,12.0
l1,4343902,4,feel tickets,0.9570343494415283,12.0
l1,679215,3,read dogs,0.959099531173706,26.0
l1,7056020,2,read dogs,0.9572495222091675,23.0
l1,4343902,4,read dogs,0.9589546322822571,26.0
l1,679215,3,walk dogs ,0.9598265290260315,14.0
l1,6463343,1,walk dogs ,0.9553219079971313,13.0
l1,7056020,2,walk dogs ,0.9595955610275269,14.0
l1,4343902,4,walk dogs ,0.960145890712738,14.0
l1,7056020,2,hide songs,0.9604792594909668,11.0
l1,6463343,1,hide songs,0.957991361618042,11.0
l1,7056020,2,sing songs,0.9626991748809814,9.0
l1,6463343,1,sing songs,0.9599848985671997,9.0
l1,679215,3,hide songs,0.9582751989364624,11.0
l1,6463343,1,bend coal,0.9550736546516418,28.0
l1,7056020,2,bend coal,0.9567593336105347,31.0
l1,679215,3,sing songs,0.9602628946304321,9.0
l1,4343902,4,hide songs,0.9573258757591248,11.0
l1,6463343,1,burn coal,0.9588679075241089,16.0
l1,7056020,2,burn coal,0.9553185105323792,16.0
l1,4343902,4,sing songs,0.9590903520584106,9.0
l1,679215,3,bend coal,0.9557414054870605,31.0
l1,6463343,1,build houses,0.9586983919143677,7.0
l1,7056020,2,build houses,0.9599999189376831,7.0
l1,679215,3,burn coal,0.9579235911369324,15.0
l1,679215,3,build houses,0.9610981941223145,7.0
l1,4343902,4,bend coal,0.9555714130401611,32.0
l1,6463343,1,chase houses,0.9562896490097046,26.0
l1,6463343,1,drink beer,0.9555330872535706,9.0
l1,7056020,2,chase houses,0.9565373659133911,26.0
l1,679215,3,chase houses,0.956345796585083,23.0
l1,7056020,2,drink beer,0.957689106464386,9.0
l1,6463343,1,show beer,0.9574640393257141,16.0
l1,679215,3,drink beer,0.961767315864563,10.0
l1,4343902,4,burn coal,0.9559701681137085,15.0
l1,7056020,2,show beer,0.9568859338760376,16.0
l1,4343902,4,build houses,0.9605350494384766,7.0
l1,6463343,1,burn smells,0.9570604562759399,18.0
l1,679215,3,show beer,0.9555281400680542,26.0
l1,7056020,2,burn smells,0.9575624465942383,19.0
l1,6463343,1,mask smells,0.9561411142349243,19.0
l1,4343902,4,chase houses,0.9559221863746643,26.0
l1,679215,3,burn smells,0.9572576284408569,17.0
l1,7056020,2,mask smells,0.9550287127494812,18.0
l1,4343902,4,drink beer,0.9557970762252808,9.0
l1,6463343,1,crack promises,0.9558134078979492,23.0
l1,679215,3,mask smells,0.9558732509613037,18.0
l1,4343902,4,show beer,0.9572247266769409,16.0
l1,7056020,2,crack promises,0.9574545621871948,23.0
l1,6463343,1,keep promises,0.9613220691680908,11.0
l1,679215,3,crack promises,0.9569374918937683,24.0
l1,7056020,2,keep promises,0.9580704569816589,11.0
l1,4343902,4,burn smells,0.955083429813385,17.0
l1,6463343,1,enter contests,0.9574446678161621,13.0
l1,7056020,2,enter contests,0.9614360332489014,14.0
l1,6463343,1,push contests,0.9572272300720215,9.0
l1,679215,3,keep promises,0.9579681158065796,11.0
l1,7056020,2,push contests,0.9578461647033691,9.0
l1,6463343,1,earn trust,0.9602063894271851,10.0
l1,4343902,4,mask smells,0.959064781665802,18.0
l1,6463343,1,eat trust,0.9591241478919983,14.0
l1,679215,3,enter contests,0.9569388628005981,13.0
l1,7056020,2,earn trust,0.9599499702453613,10.0
l1,6463343,1,foot bills,0.9568718671798706,12.0
l1,4343902,4,crack promises,0.9555565118789673,24.0
l1,679215,3,push contests,0.9576796293258667,9.0
l1,7056020,2,eat trust,0.9591494798660278,14.0
l1,679215,3,earn trust,0.959136962890625,10.0
l1,6463343,1,catch bills,0.9709947109222412,19.0
l1,4343902,4,keep promises,0.9583613872528076,11.0
l1,7056020,2,foot bills,0.961310625076294,12.0
l1,679215,3,eat trust,0.9581881165504456,14.0
l1,4343902,4,enter contests,0.9602561593055725,14.0
l1,6463343,1,fight accounts,0.959114134311676,20.0
l1,7056020,2,catch bills,0.9697778224945068,19.0
l1,4343902,4,push contests,0.9580271244049072,9.0
l1,679215,3,foot bills,0.9577741622924805,12.0
l1,6463343,1,freeze accounts,0.9563155174255371,18.0
l1,7056020,2,fight accounts,0.9589056372642517,20.0
l1,4343902,4,earn trust,0.9595912098884583,10.0
l1,6463343,1,drive growth,0.9585864543914795,11.0
l1,679215,3,catch bills,0.961585283279419,18.0
l1,4343902,4,eat trust,0.9586343765258789,14.0
l1,7056020,2,freeze accounts,0.9565098881721497,18.0
l1,4343902,4,foot bills,0.9599377512931824,12.0
l1,6463343,1,drop growth,0.963787317276001,29.0
l1,679215,3,fight accounts,0.9570338726043701,20.0
l1,7056020,2,drive growth,0.9560632705688477,11.0
l1,6463343,1,fly kids,0.957513689994812,11.0
l1,4343902,4,catch bills,0.9668552279472351,19.0
l1,679215,3,freeze accounts,0.957202672958374,18.0
l1,6463343,1,teach kids,0.9590430855751038,9.0
l1,679215,3,drive growth,0.9583414196968079,11.0
l1,7056020,2,drop growth,0.9583984613418579,29.0
l1,4343902,4,fight accounts,0.959325909614563,20.0
l1,6463343,1,buy blame,0.9586189985275269,20.0
l1,7056020,2,fly kids,0.957348108291626,11.0
l1,7056020,2,teach kids,0.9584760069847107,9.0
l1,4343902,4,freeze accounts,0.9575873613357544,21.0
l1,6463343,1,shift blame,0.9572927355766296,21.0
l1,6463343,1,feel pain,0.9578762650489807,6.0
l1,4343902,4,drive growth,0.9559048414230347,11.0
l1,7056020,2,buy blame,0.9637346267700195,20.0
l1,679215,3,drop growth,0.9600588083267212,28.0
l1,6463343,1,waste pain,0.9623605608940125,9.0
l1,679215,3,fly kids,0.9601297974586487,11.0
l1,4343902,4,drop growth,0.9592047929763794,27.0
l1,6463343,1,raise doubts,0.9585932493209839,11.0
l1,679215,3,teach kids,0.9608731269836426,9.0
l1,7056020,2,shift blame,0.9567826986312866,21.0
l1,4343902,4,fly kids,0.9566246271133423,11.0
l1,6463343,1,take doubts,0.9582583904266357,13.0
l1,7056020,2,feel pain,0.9574131965637207,6.0
l1,4343902,4,teach kids,0.9578558206558228,9.0
l1,679215,3,buy blame,0.9630302786827087,20.0
l1,7056020,2,waste pain,0.9610292315483093,9.0
l1,6463343,1,catch fire,0.9580460786819458,8.0
l1,7056020,2,raise doubts,0.9603376388549805,11.0
l1,6463343,1,cut fire,0.9569193124771118,10.0
l1,4343902,4,buy blame,0.960162878036499,20.0
l1,7056020,2,take doubts,0.959802508354187,13.0
l1,679215,3,shift blame,0.9570178389549255,22.0
l1,7056020,2,catch fire,0.959430992603302,8.0
l1,679215,3,feel pain,0.9561448097229004,6.0
l1,6463343,1,bring boundaries,0.9591535925865173,21.0
l1,4343902,4,shift blame,0.9586522579193115,22.0
l1,679215,3,waste pain,0.9621343612670898,9.0
l1,4343902,4,feel pain,0.9568856954574585,6.0
l1,7056020,2,cut fire,0.9582335948944092,10.0
l1,679215,3,raise doubts,0.9579542875289917,11.0
l1,4343902,4,waste pain,0.9561755657196045,8.0
l1,6463343,1,push boundaries,0.9559805393218994,25.0
l1,679215,3,take doubts,0.9580895304679871,13.0
l1,4343902,4,raise doubts,0.9602958559989929,11.0
l1,7056020,2,bring boundaries,0.9587766528129578,21.0
l1,679215,3,catch fire,0.9599394202232361,8.0
l1,4343902,4,take doubts,0.9600710272789001,13.0
l1,6463343,1,cross costs,0.9611966609954834,10.0
l1,679215,3,cut fire,0.958333432674408,10.0
l1,4343902,4,catch fire,0.9609835147857666,8.0
l1,6463343,1,cut costs,0.9594757556915283,11.0
l1,7056020,2,push boundaries,0.9561810493469238,25.0
